"indice_pop";"montagne";"touristique";"metropole";"metropolehidf";"annee";"population";"dep_invest";"dep_invest_ba";"rec_invest";"rec_invest_ba";"dep_equip";"dep_equip_ba";"dep_equip_brut";"dep_equip_brut_ba";"remboursement";"remboursement_ba";"emprunt";"emprunt_ba";"dep_fonc";"dep_fonc_ba";"rec_fonc";"rec_fonc_ba";"dette";"dette_ba";"fc_i";"fc_f";"terrains";"terrains_ba";"constructions";"constructions_ba";"reseaux";"reseaux_ba";"bien_meuble";"bien_meuble_ba";"taxe_amenag";"taxe_amenag_ba";"compte13_10";"compte13_10_ba";"amende";"amende_ba";"FCTVA";"FCTVA_ba";"planFCTVA_r";"planFCTVA_d";"planFCTVA_r_ba";"planFCTVA_d_ba";"cessions";"cessions_ba";"subvention_204";"subvention_204_ba";"siren_epci";"epn";"epn_ba";"rec_invest_hors_planFCTVA";"rec_invest_hors_planFCTVA_ba";"plan_relance_FCTVA_net";"plan_relance_FCTVA_net_ba";"remb_avance";"remb_avance_ba";"sub_dot_ssTAAm";"sub_dot_ssTAAm_ba";"autres_dep_equip";"autres_dep_equip_ba";"autres_rec_invest";"autres_rec_invest_ba";"autres_rec_invest_hors_planrelance";"autres_rec_invest_hors_planrelance_ba";"var_fon_roul";"var_fon_roul_ba"
1;1;0;2;0;2014;505479;136718,75944;24635,64687;71144,34107;2837,94869;127409,6564;24423,06747;130451,85566;24451,7226;55350,06735;10532,18752;36231,82152;13987,66175;561903,87247;39288,16136;653261,81491;50436,01552;462096,78859;106825,97467;120,57575;8900,47815;12834,55083;235,50843;49843,73463;9888,55966;48297,21329;13288,30202;9963,14925;309,63308;4088,30523;71,91708;30387,46851;1863,97228;2994,474;0;20300,6736;244,07436;0;0;0;0;13660,74413;453,17499;5007,69176;0;NA;36007,87509;615,666639999999;71144,34107;2837,94869;0;0;-3042,19926;-28,6551300000001;23304,68928;1792,0552;9513,20766;729,71941;6795,45483;276,72706;6795,45483;276,72706;6665,27823999999;-7194,36979
1;1;0;2;0;2015;506177;134447,50102;21749,92147;64495,9886;5429,98885;116085,51785;21100,35021;117448,82119;21200,81835;47228,16715;5964,83984;29584,09834;10409,63601;553400,52953;35407,54076;649806,20534;50548,51352;450155,41682;102083,93055;752,8803;7252,11243;13573,23948;286,97014;42894,48706;9619,34556;44084,0573;10489,77878;11608,86153;448,73664;4715,65059;0;24959,19407;2568,51097;2994,208;0;19419,54924;216,49804;3614,154;0;0;0;13293,35685;22,49334;6400,88451;0;NA;49177,50866;9176,13292;60881,8346;5429,98885;3614,154;0;-1363,30334;-100,46814;17249,33548;2568,51097;5288,17582;355,98723;6823,88844;2622,4865;3209,73444;2622,4865;8810,09458;3265,83631
1;1;0;2;0;2016;496488;123170,15327;19049,39055;59839,33603;2463,29592;104507,33346;18851,15629;104624,2818;18872,88246;44801,68324;7139,82705;36570,71401;6893,38483;528689,5067;31727,34209;619599,15017;46666,97429;430272,91459;84944,49122;862,56602;5885,23559;12057,63458;267,65886;44131,90034;7576,37249;33874,83087;9765,57693;9566,03985;529,0026;4809,88178;0;27861,95008;1725,67766;3026,815;0;16515,86783;7,217;0;1762,577;0;0;8456,64306;17,73692;7054,4541;0;NA;46107,96023;7799,80515;61601,91303;2463,29592;-1762,577;0;-116,948340000001;-21,7261699999999;20025,2533;1725,67766;4993,87616;734,27158;7004,87506;712,66434;8767,45206;712,66434;19347,857;-1892,90465
1;1;0;2;0;2017;496384;132572,63878;19992,36744;55740,40923;4983,027;118951,81028;19575,30528;119180,93945;19591,99515;44590,70185;6473,53783;34986,4454;6350,28765;530132,52844;30384,50426;616059,49256;43732,57035;422356,71407;83952,11982;1070,07575;6353,41913;13353,49676;505,15122;46798,52582;4652,84774;41055,62813;12382,84143;12220,55427;826,84911;5712,94814;23,306;24595,43705;3906,87256;3426,626;0;14489,69071;6,95295;0;1807,077;0;0;13940,1448;586,759;10351,05128;10,58618;NA;41336,26227;6874,52826;57547,48623;4983,027;-1807,077;0;-229,12917;-16,6898700000002;15455,86291;3883,56656;5752,73447;1224,30565;2715,13667;482,44249;4522,21367;482,44249;-509,521880000025;-1784,52453
1;1;1;0;1;2014;164779;70706,08681;2977,44904;33444,60364;161,7979;62887,75898;2977,44904;62922,07034;2977,44904;14615,1024;1425,17403;23916,479;0;198436,32134;976,68836;216453,35967;2268,18471;188248,50146;10512,91465;0;1040,40404;7326,90124;0;18325,29433;0;18253,54493;2904,91407;3214,26234;0;2656,55784;0;18666,99365;0;506,81921;0;10435,26438;0;0;0;0;0;2806,31583;0;7497,53165;0;699521709;3401,93593;-133,67768;33444,60364;161,7979;0;0;-34,311360000007;0;15503,6166;0;15802,0675;72,5349700000002;1536,02978;161,7979;1536,02978;161,7979;-9943,06824000001;-2949,32882
1;1;1;0;1;2015;166628;78434,11086;6106,66579;63605,12639;5592,15344;64709,24401;6106,66579;64713,51484;6106,66579;16242,18388;538,93095;20775,836;4502,7;208199,02756;969,98459;223661,11136;2148,18359;192782,15357;14476,6837;0;1797,78389;8139,32696;0;17081,28814;0;18961,45893;5854,61931;3485,57001;0,65127;2792,57196;0;27620,13901;5314,21855;465,374;0;8524,0792;172,87926;4512;0;0;0;22582,46861;0;12501,43745;0;699521709;-780,100080000015;639,26805;59093,12639;5592,15344;4512;0;-4,27082999999993;0;24362,19305;5314,21855;17045,8708;251,39521;4878,43957;105,05563;366,439569999998;105,05563;5166,75144999999;4627,4557
1;1;1;0;1;2016;166724;55646,49356;682,58601;35137,85422;725,61282;38879,86826;682,58601;39184,78342;682,58601;20198,18399;632,98312;14949,512;0;200958,13205;955,25747;224128,75673;2443,68141;187533,48157;13843,70058;0;1533,88097;4922,4464;0;17553,15894;0;10597,13779;607,45402;1287,66499;4,74061;2433,08595;0;19815,7431;0,49184;401,505;0;8616,89553;712,92786;0;2256;0;0;7979,19326;0;12952,3849;0;699521709;2972,44069;855,44082;37393,85422;725,61282;-2256;0;-304,91516;0;16981,15215;0,49184;4824,3753;70,39138;-1273,97767;12,19312;982,022329999999;12,19312;-2586,68665000001;898,46763
1;1;1;0;1;2017;168123;48760,64279;955,89013;22547,99745;1064,65695;38981,38654;955,89013;39027,54446;955,89013;17467,78384;687,94106;18842,176;0;203190,71462;3183,84862;224269,51889;3126,86544;188907,87373;13155,75952;0;1328,84194;3620,88501;0;15089,83243;0;11226,2445;865,31053;4276,94214;0;3049,63102;0;17217,46792;950,50648;391,039;0;5242,91854;87,043;0;2256;0;0;1595,96086;0;9707,87657;0;699521709;3611,02042999999;-744,92424;24803,99745;1064,65695;-2256;0;-46,1579199999996;0;13776,7979;950,50648;4813,64038;90,5796;-1508,34987;27,10747;747,650129999999;27,10747;-3759,44891;-636,15742
1;1;1;2;0;2014;539195;207955,66333;13265,0763;126596,5072;7455,47239;190709,26691;12374,13935;190855,62441;12374,13935;74350,41649;8840,39778;46629,51269;8662,25177;679823,81887;39046,29377;791529,91871;54948,10635;788419,75598;108735,89645;23,63191;8267,73556;20119,2635;180,36257;81692,18238;2494,68067;57880,80487;8325,966;15691,57752;483,48889;5883,2424;1140,866;56805,65504;4690,53202;8002,12176;168,732;25372,94226;798,75037;0;0;0;0;32465,05397;538,55176;8378,20201;0;NA;37355,68335;7061,4148;126596,5072;7455,47239;0;0;-146,357500000001;0;42920,29088;3380,93402;15471,79614;889,64122;11952,85593;1427,63824;11952,85593;1427,63824;2626,03990999996;9914,06266
1;1;1;2;0;2015;540315;181634,94914;11636,55068;112937,25775;4486,85686;163803,38721;11569,54737;165132,45127;11621,4916;58124,31153;7024,86098;50025,40589;11954,43011;682993,64812;41445,66299;790145,17229;54726,23269;789214,81885;113526,46527;208,28759;8805,59273;14810,35742;442,49105;67241,42583;2744,84174;54138,91249;7211,35903;12790,88124;292,81902;9042,52751;0;58824,66768;3122,1005;7459,3474;161,101;27066,35097;102,12699;2124,471;0;0;0;17163,03613;17,60667;7076,07701;0;NA;49027,21264;6255,70872;110812,78675;4486,85686;2124,471;0;-1329,06406;-51,9442300000001;42322,79277;2960,9995;16150,87429;929,98076;9883,20297;1245,0227;7758,73197;1245,0227;30354,92714;11060,44501
1;1;1;2;0;2016;543968;177561,49443;17445,21744;102083,54673;6602,09685;139115,06943;15185,79644;139184,91968;15185,79644;63156,04247;11665,24965;41689,27107;21590,88534;663860,51793;48741,19912;765797,6948;63962,98314;783329,9221;117374,08453;119,82215;7862,82519;11911,02722;269,47735;54629,66971;7034,20383;44719,0177;5605,86194;13261,43165;1111,40624;8784,56461;249,936;48203,56598;5157,71774;7037,746;116,136;25956,35761;110,31889;0;762,7655;0;0;12968,79878;276,4;8519,95253;0;NA;38781,1344;3556,53437;102846,31223;6602,09685;-762,7655;0;-69,8502500000013;0;32381,25537;4791,64574;14663,7734;1164,84708;14954,82436;1057,66022;15717,58986;1057,66022;4992,45776999997;14304,29912
1;1;1;2;0;2017;545233;169222,71553;17548,13172;99849,39518;5201,28871;150741,02836;17473,34269;151866,31426;17473,34269;74060,50976;21768,94647;38554,67884;1933,08825;681315,35819;39816,40345;785934,553;72313,75126;766738,90411;94807,87996;189,91862;9917,32539;15015,58405;562,95299;68182,91961;5484,79673;42363,05397;8153,1136;11903,81295;2226,02159;6895,84905;0;39219,13536;3852,66642;7688,061;126,73;19649,12173;92,81885;0;1062,2355;0;0;16452,86588;84,64958;8144,4144;0;NA;30558,68505;10728,40134;100911,63068;5201,28871;-1062,2355;0;-1125,2859;0;24635,22531;3725,93642;14400,94368;1046,45778;24528,27221;1171,15386;25590,50771;1171,15386;-259,95646000001;314,64658
